Date,Open,High,Low,Close,Adj Close,Volume
"Apr 26, 2016",42.96,44.83,42.5,44.04,44.04,"5,64,392"
"Apr 25, 2016",43.75,44.04,42.58,42.64,42.64,"6,06,383"
"Apr 22, 2016",43.42,44.45,43.11,43.73,43.73,"5,75,107"
"Apr 21, 2016",43.97,44.49,43.05,43.18,43.18,"6,71,103"
"Apr 20, 2016",40.8,42.91,39.85,42.63,42.63,"7,96,240"
"Apr 19, 2016",40.04,41.53,39.58,41.08,41.08,"1,01,734"
"Apr 18, 2016",38.75,40.24,37.61,39.78,39.78,"3,42,463"
"Apr 15, 2016",41.43,41.73,39.98,40.36,40.36,"5,20,146"
"Apr 14, 2016",41.54,42.16,40.84,41.5,41.5,"4,88,614"
"Apr 13, 2016",41.63,42.42,41.24,41.76,41.76,"7,30,437"
"Apr 12, 2016",40.35,42.25,40.09,42.17,42.17,"7,96,837"
"Apr 11, 2016",39.72,40.75,39.25,40.36,40.36,"6,79,351"
"Apr 08, 2016",37.52,39.84,37.45,39.72,39.72,"8,17,230"
"Apr 07, 2016",37.76,38.3,36.69,37.26,37.26,"6,26,749"
"Apr 06, 2016",36.52,37.9,36.43,37.75,37.75,"7,51,048"
"Apr 05, 2016",35.5,36.58,35.24,35.89,35.89,"4,85,543"
"Apr 04, 2016",36.61,37.21,35.46,35.7,35.7,"5,49,477"
"Apr 01, 2016",38.14,38.56,36.63,36.79,36.79,"5,47,190"
"Mar 31, 2016",38.3,39.04,37.57,38.34,38.34,"5,32,152"
"Mar 30, 2016",38.52,39.85,38.14,38.32,38.32,"5,42,469"
"Mar 29, 2016",39.32,39.48,37.91,38.28,38.28,"4,88,032"
"Mar 28, 2016",39.55,40.14,38.86,39.39,39.39,"2,99,775"
"Mar 24, 2016",39.73,39.77,38.33,39.46,39.46,"4,95,168"
"Mar 23, 2016",41.19,41.34,39.67,39.79,39.79,"4,92,003"
"Mar 22, 2016",41.59,41.9,40.77,41.45,41.45,"4,63,693"
"Mar 21, 2016",39.06,40.3,38.61,39.91,39.91,"4,79,337"
"Mar 18, 2016",40.25,41.2,39.15,39.44,39.44,"1,30,151"
"Mar 17, 2016",38.59,40.36,38.47,40.2,40.2,"2,98,013"
"Mar 16, 2016",36.74,38.63,36.61,38.46,38.46,"4,94,174"
"Mar 15, 2016",37.37,37.4,35.96,36.34,36.34,"4,46,100"
"Mar 14, 2016",38.17,38.77,36.68,37.18,37.18,"4,89,938"
"Mar 11, 2016",37.99,39.02,37.92,38.5,38.5,"5,64,791"
"Mar 10, 2016",38.17,38.48,37.21,37.84,37.84,"7,01,435"
"Mar 09, 2016",36.36,38.51,36.24,38.29,38.29,"7,40,632"
"Mar 08, 2016",37.94,38.39,36.12,36.5,36.5,"7,06,933"
"Mar 07, 2016",36.2,38.11,36.09,37.9,37.9,"7,09,870"
"Mar 04, 2016",34.66,36.34,34.4,35.92,35.92,"5,78,290"
"Mar 03, 2016",34.73,35.32,34.19,34.57,34.57,"5,12,962"
"Mar 02, 2016",33.89,35.17,33.55,34.66,34.66,"5,97,834"
"Mar 01, 2016",33.9,34.76,33.37,34.4,34.4,"5,66,226"
"Feb 29, 2016",32.72,33.98,32.32,33.75,33.75,"5,12,468"
"Feb 26, 2016",33.04,34.69,32.64,32.78,32.78,"6,46,294"
"Feb 25, 2016",32.19,33.49,31.07,33.07,33.07,"6,11,874"
"Feb 24, 2016",31.28,32.4,30.56,32.15,32.15,"6,52,245"
"Feb 23, 2016",33.34,33.53,31.22,31.87,31.87,"5,39,379"
"Feb 22, 2016",29.72,32.05,29.48,31.48,31.48,"5,21,016"
"Feb 19, 2016",30.6,30.73,29.05,29.64,29.64,"1,03,202"
"Feb 18, 2016",31.35,31.98,30.27,30.77,30.77,"2,25,497"
"Feb 17, 2016",29.14,31.49,28.73,30.66,30.66,"5,78,639"
"Feb 16, 2016",29.08,31.53,28.7,29.04,29.04,"6,51,956"
"Feb 12, 2016",27.3,29.66,26.95,29.44,29.44,"6,75,157"
"Feb 11, 2016",27.34,27.48,26.05,26.21,26.21,"7,95,965"
"Feb 10, 2016",28.36,29.22,27.24,27.45,27.45,"7,81,280"
"Feb 09, 2016",30.17,30.61,27.74,27.94,27.94,"7,38,219"
"Feb 08, 2016",30.97,31.38,29.57,29.69,29.69,"6,03,646"
"Feb 05, 2016",31.64,32.45,30.63,30.89,30.89,"6,16,531"
"Feb 04, 2016",32.71,33.6,31.53,31.72,31.72,"6,96,721"
"Feb 03, 2016",29.75,32.75,29.4,32.28,32.28,"8,11,699"
"Feb 02, 2016",31.37,31.53,29.57,29.88,29.88,"6,02,564"
"Feb 01, 2016",33.83,34.18,31.29,31.62,31.62,"5,95,612"
"Jan 29, 2016",33.7,34.4,32.65,33.62,33.62,"6,18,110"
"Jan 28, 2016",32.19,34.82,31.74,33.22,33.22,"8,33,378"
"Jan 27, 2016",30.55,32.84,30.14,32.3,32.3,"7,38,551"
"Jan 26, 2016",29.81,32.41,29.25,31.45,31.45,"6,42,432"
"Jan 25, 2016",32.05,32.74,29.68,30.34,30.34,"6,06,892"
"Jan 22, 2016",29.84,32.35,29.53,32.19,32.19,"6,36,573"
"Jan 21, 2016",28.35,30.25,27.87,29.53,29.53,"6,94,040"
"Jan 20, 2016",28.33,28.58,26.19,26.55,26.55,"6,90,039"
"Jan 19, 2016",29.2,30.21,28.21,28.46,28.46,"1,88,026"
"Jan 15, 2016",31.18,31.18,29.13,29.42,29.42,"3,29,094"
"Jan 14, 2016",30.6,31.77,30.28,31.2,31.2,"5,37,906"
"Jan 13, 2016",30.54,31.71,30.1,30.48,30.48,"6,37,903"
"Jan 12, 2016",31.11,32.21,29.93,30.44,30.44,"6,27,218"
"Jan 11, 2016",32.94,33.2,30.88,31.41,31.41,"6,48,640"
"Jan 08, 2016",33.3,34.34,32.64,33.16,33.16,"5,96,496"
"Jan 07, 2016",34.09,34.26,32.1,33.27,33.27,"6,17,409"
"Jan 06, 2016",36.18,36.39,33.77,33.97,33.97,"5,63,811"
"Jan 05, 2016",36.9,37.1,35.74,35.97,35.97,"4,10,131"
"Jan 04, 2016",37.6,38.39,36.33,36.76,36.76,"4,31,985"
"Dec 31, 2015",36.81,37.79,36.22,37.04,37.04,"2,83,623"
"Dec 30, 2015",37.36,37.4,36.4,36.6,36.6,"2,67,912"
"Dec 29, 2015",36.7,37.94,36.66,37.87,37.87,"2,41,945"
"Dec 28, 2015",38,38.09,36.6,36.81,36.81,"2,20,644"
"Dec 24, 2015",37.86,38.28,37.38,38.1,38.1,"2,05,873"
"Dec 23, 2015",36.47,37.95,36.28,37.5,37.5,"3,74,658"
"Dec 22, 2015",35.8,36.54,35.66,36.14,36.14,"3,02,263"
"Dec 21, 2015",34.58,34.86,33.98,34.74,34.74,"2,98,080"
"Dec 18, 2015",34.87,35.57,34.29,34.73,34.73,"1,16,038"
"Dec 17, 2015",35.8,35.84,34.63,34.95,34.95,"1,96,227"
"Dec 16, 2015",36.79,37.35,35.29,35.52,35.52,"4,02,967"
"Dec 15, 2015",36.32,37.88,36.03,37.35,37.35,"4,74,159"
"Dec 14, 2015",35.4,36.7,34.53,36.31,36.31,"5,50,476"
"Dec 11, 2015",36.63,36.84,35.16,35.62,35.62,"5,05,406"
"Dec 10, 2015",37.27,37.54,36.38,36.76,36.76,"5,13,940"
"Dec 09, 2015",37.86,38.99,36.87,37.16,37.16,"6,46,166"
"Dec 08, 2015",37.68,38.58,36.64,37.51,37.51,"7,67,184"
"Dec 07, 2015",40.1,40.15,37.5,37.65,37.65,"6,35,413"
"Dec 04, 2015",41.31,42,39.6,39.97,39.97,"5,10,758"
"Dec 03, 2015",40.15,41.78,40.07,41.08,41.08,"4,96,884"
"Dec 02, 2015",41.69,41.97,39.84,39.94,39.94,"5,45,289"
"Dec 01, 2015",41.73,42.23,41.17,41.85,41.85,"4,15,537"
"Nov 30, 2015",41.77,42.61,41.5,41.65,41.65,"3,69,509"
"Nov 27, 2015",43.25,43.3,41.67,41.71,41.71,"3,16,475"
"Nov 25, 2015",42.69,43.25,41.72,43.04,43.04,"3,83,158"
"Nov 24, 2015",42.04,43.46,41.86,42.87,42.87,"4,30,304"
"Nov 23, 2015",41.49,42.75,40.41,41.75,41.75,"5,16,190"
"Nov 20, 2015",40.54,40.99,38.99,40.39,40.39,"4,32,642"
"Nov 19, 2015",40.72,41.05,39.89,40.54,40.54,"1,31,356"
"Nov 18, 2015",41.11,41.55,39.91,40.75,40.75,"2,51,518"
"Nov 17, 2015",41.96,42.03,40.58,40.67,40.67,"3,63,714"
"Nov 16, 2015",40.92,42.25,40.06,41.74,41.74,"5,35,179"
"Nov 13, 2015",41.61,42.84,40.22,40.74,40.74,"4,80,893"
"Nov 12, 2015",43.05,43.33,41.54,41.75,41.75,"5,45,351"
"Nov 11, 2015",43.63,44.11,42.62,42.93,42.93,"5,02,371"
"Nov 10, 2015",44.1,44.76,43.57,44.21,44.21,"4,45,973"
"Nov 09, 2015",44.52,45.12,43.64,43.87,43.87,"4,87,992"
"Nov 06, 2015",45.41,45.64,44.11,44.29,44.29,"4,48,133"
"Nov 05, 2015",46.57,46.65,45.12,45.2,45.2,"4,37,646"
"Nov 04, 2015",47.74,48.28,46.17,46.32,46.32,"4,59,307"
"Nov 03, 2015",46.11,48.36,45.96,47.9,47.9,"4,34,574"
"Nov 02, 2015",46.43,46.73,45.56,46.14,46.14,"3,05,518"
"Oct 30, 2015",45.74,47.03,45.48,46.59,46.59,"3,63,307"
"Oct 29, 2015",46.06,46.79,45.16,46.06,46.06,"4,36,513"
"Oct 28, 2015",43.44,46.22,43.06,45.94,45.94,"5,21,518"
"Oct 27, 2015",43.78,43.91,42.58,43.2,43.2,"3,70,825"
"Oct 26, 2015",44.74,44.94,43.64,43.98,43.98,"3,02,084"
"Oct 23, 2015",45.44,45.75,44.2,44.6,44.6,"4,06,577"
"Oct 22, 2015",45.27,46.1,44.9,45.38,45.38,"3,22,742"
"Oct 21, 2015",45.88,46.08,44.86,45.2,45.2,"3,84,288"
"Oct 20, 2015",46.25,46.52,45.23,45.55,45.55,"3,61,314"
"Oct 19, 2015",47.27,47.49,45.85,45.89,45.89,"1,25,840"
"Oct 16, 2015",46.87,47.5,46.16,47.26,47.26,"1,98,127"
"Oct 15, 2015",46.28,47.02,45.23,46.38,46.38,"3,70,940"
"Oct 14, 2015",46.69,46.96,45.94,46.64,46.64,"3,48,241"
"Oct 13, 2015",47.46,48.43,46.44,46.66,46.66,"4,65,388"
"Oct 12, 2015",49.51,50.13,47.04,47.1,47.1,"4,08,663"
"Oct 09, 2015",49.69,50.92,49.17,49.63,49.63,"5,08,680"
"Oct 08, 2015",48.11,50.07,47.76,49.43,49.43,"5,09,760"
"Oct 07, 2015",49,49.71,47.7,47.81,47.81,"5,47,488"
"Oct 06, 2015",46.2,49.08,45.73,48.53,48.53,"4,53,101"
"Oct 05, 2015",45.65,46.94,45.21,46.26,46.26,"3,23,061"
"Oct 02, 2015",45.07,45.81,43.97,45.54,45.54,"4,20,740"
"Oct 01, 2015",45.38,47.1,44.63,44.74,44.74,"4,78,979"
"Sep 30, 2015",44.92,45.85,44.68,45.09,45.09,"3,55,853"
"Sep 29, 2015",44.5,45.7,44.3,45.23,45.23,"2,65,176"
"Sep 28, 2015",45.38,45.5,44.3,44.43,44.43,"2,73,906"
"Sep 25, 2015",45.05,46.38,44.86,45.7,45.7,"3,38,622"
"Sep 24, 2015",44.62,45.18,43.71,44.91,44.91,"3,71,976"
"Sep 23, 2015",46.54,47.15,44.41,44.48,44.48,"4,11,957"
"Sep 22, 2015",46.45,46.48,45.14,45.83,45.83,"3,45,875"
"Sep 21, 2015",44.97,46.74,44.69,46.68,46.68,"1,04,528"
